cluster_number,predicate,predicate_description,vars,cluster_size
1,System, x is a system,x,34
1,System45, x is a system,x,34
1,System52, x is a system,x,34
1,System55, x is a system,x,34
1,System57, w is a system,w,34
1,System62, y is a system,y,34
1,System0, x is a system,x,34
1,System3, x is a system,x,34
1,System4, x is a system,x,34
1,System9, z is a system,z,34
1,System10, x is a system,x,34
1,System13, x is a system,x,34
1,System14, x is a system,x,34
1,System20, x is a system,x,34
1,System22, x is a system,x,34
1,System23, w is a system,w,34
1,System24, x is a system,x,34
1,System34, x is a system,x,34
1,System35, x is a system,x,34
1,System36, x is a system,x,34
1,System41, x is a system,x,34
1,System46, x is a system,x,34
1,System53, x is a system,x,34
1,System56, x is a system,x,34
1,System63, y is a system,y,34
1,System64, x is a system,x,34
1,System66, x is a system,x,34
1,System68, x is a system,x,34
1,System70, x is a system,x,34
1,System74, y is a system,y,34
1,System75, x is a system,x,34
1,System85, x is a system,x,34
1,System17, w is a system,w,34
1,WebSystem, x is a web system,x,34
2,File, x is a file,x,8
2,File12, x is a file,x,8
2,File39, w is a file,w,8
2,File42, w is a file,w,8
2,File43, x is a file,x,8
2,File78, z is a file,z,8
2,File29, x is a file,x,8
2,FileType, z is a file type,z,8
3,SecureSession, x is a secure session,x,7
3,Secure, y is secure,y,7
3,Session49, x is a session,x,7
3,Session, y is a session,y,7
3,Session11, x is a session,x,7
3,SessionData, x is session data,x,7
3,NetworkSessionData, y is network session data,y,7
4,Rule, w is a rule,w,7
4,Rule44, w is a rule,w,7
4,Rule77, y is a rule,y,7
4,RuleSet, x is a rule set,x,7
4,RuleEngine, y is a rule engine,y,7
4,PolicyOrRuleSet, y is a policy or rule set,y,7
4,Policy, w is a policy,w,7
5,Verification, z is a verification,z,5
5,VerificationAction, y is a verification action,y,5
5,VerificationResult, z is a verification result,z,5
5,ToBeVerified, x is to be verified,x,5
5,CryptographicVerification, y is a cryptographic verification,y,5
6,Alert, x is an alert,x,5
6,Alert37, y is an alert,y,5
6,Alert8, x is an alert,x,5
6,Alert32, z is an alert,z,5
6,Alerted, x is alerted,x,5
7,Baseline, x is a baseline,x,5
7,Baseline25, y is a baseline,y,5
7,Baseline67, y is a baseline,y,5
7,BaselineModel, y is a baseline model,y,5
7,BaselineBehaviorModel, y is a baseline behavior model,y,5
8,Log, z is a log,z,4
8,Log6, y is a log,y,4
8,Log7, x is a log,x,4
8,Log27, s is a log,s,4
9,ContentElement, x is a content element,x,4
9,Content, x is content,x,4
9,Content54, y is content,y,4
9,Content81, x is content,x,4
10,Domain, z is a domain,z,4
10,DomainName, y is a domain name,y,4
10,DomainName60, x is a domain name,x,4
10,Subdomain, w is a subdomain,w,4
11,Available, x is available,x,4
11,Available79, y is available,y,4
11,Available80, x is available,x,4
11,Available71, x is available,x,4
12,Result, y is a result,y,3
12,Result18, y is a result,y,3
12,Result21, y is a result,y,3
13,CallStack, y is a call stack,y,3
13,CallStack1, x is a call stack,x,3
13,CallStack2, y is a call stack,y,3
